1,1
2,47
4,34
1,50
3,46
4,29
1,31
1,57
2,8
3,0
3,48
4,3
4,38
2,62
3,60
1,5
2,19
4,30
1,39
1,46
1,59
2,7
2,51
3,4
3,11
1,0
1,7
1,17
1,26
1,44
2,5
2,12
2,28
2,58
3,5
3,17
3,21
4,2
4,9
4,25
4,33
1,22
1,38
1,48
1,60
2,20
2,45
2,49
2,59
2,63
3,1
3,7
3,8
3,19
3,33
3,54
4,18
4,19
4,60
1,2
1,19
1,27
1,37
1,55
1,62
1,63
2,2
2,26
2,30
2,36
2,52
2,54
2,56
2,57
3,2
3,6
3,13
3,20
3,22
3,30
3,37
3,44
3,53
3,58
4,0
4,5
4,8
4,17
4,21
4,27
4,41
4,47
4,53
4,55
4,58
1,4
1,8
1,9
1,16
1,20
1,21
1,23
1,25
1,30
1,34
1,36
1,42
1,43
1,51
1,58
2,0
2,3
2,9
2,10
2,15
2,16
2,17
2,22
2,23
2,24
2,25
2,31
2,34
2,38
2,41
2,46
2,48
2,55
2,60
2,61
3,9
3,16
3,25
3,27
3,29
3,32
3,35
3,36
3,38
3,41
3,43
3,45
3,51
3,55
3,56
3,59
4,1
4,4
4,7
4,11
4,12
4,22
4,26
4,28
4,36
4,37
4,39
4,44
4,51
4,52
4,54
4,56
4,57
4,59
4,62
4,63
