
各层处理时间统计(ms):
层 3: 128.75ms (, 中间层: 73.41ms, 最终层: 55.34ms, %)
层 4: 88.90ms (, 中间层: 37.14ms, 最终层: 51.76ms, %)
层 5: 120.22ms (, 中间层: 69.00ms, 最终层: 51.21ms, %)
层 6: 146.93ms (, 中间层: 81.08ms, 最终层: 65.85ms, %)
层 7: 98.85ms (, 中间层: 32.02ms, 最终层: 66.82ms, %)
层 8: 106.04ms (, 中间层: 30.63ms, 最终层: 75.41ms, %)
层 9: 105.71ms (, 中间层: 33.13ms, 最终层: 72.58ms, %)
层 10: 125.38ms (, 中间层: 50.60ms, 最终层: 74.78ms, %)
层 11: 117.46ms (, 中间层: 62.10ms, 最终层: 55.35ms, %)
层 12: 140.80ms (, 中间层: 77.03ms, 最终层: 63.77ms, %)
层 13: 125.42ms (, 中间层: 58.89ms, 最终层: 66.52ms, %)
层 14: 123.06ms (, 中间层: 67.09ms, 最终层: 55.96ms, %)
层 15: 137.83ms (, 中间层: 64.35ms, 最终层: 73.48ms, %)
层 16: 137.76ms (, 中间层: 70.08ms, 最终层: 67.68ms, %)
层 17: 121.07ms (, 中间层: 65.61ms, 最终层: 55.45ms, %)
层 18: 124.83ms (, 中间层: 66.45ms, 最终层: 58.38ms, %)
层 19: 150.75ms (, 中间层: 87.08ms, 最终层: 63.67ms, %)
层 20: 135.05ms (, 中间层: 77.01ms, 最终层: 58.04ms, %)
层 21: 129.82ms (, 中间层: 67.22ms, 最终层: 62.59ms, %)
层 22: 126.12ms (, 中间层: 71.21ms, 最终层: 54.91ms, %)
层 23: 125.30ms (, 中间层: 68.24ms, 最终层: 57.06ms, %)
层 24: 135.20ms (, 中间层: 73.20ms, 最终层: 62.00ms, %)
层 25: 127.41ms (, 中间层: 73.90ms, 最终层: 53.51ms, %)
层 26: 127.35ms (, 中间层: 61.21ms, 最终层: 66.13ms, %)

各层处理时间统计(ms):
层 1: 126.96ms (, 中间层: 62.53ms, 最终层: 64.43ms, %)
层 2: 143.96ms (, 中间层: 79.15ms, 最终层: 64.81ms, %)
层 3: 143.58ms (, 中间层: 83.84ms, 最终层: 59.74ms, %)
层 4: 108.68ms (, 中间层: 58.22ms, 最终层: 50.45ms, %)
层 5: 130.49ms (, 中间层: 73.94ms, 最终层: 56.55ms, %)
层 6: 133.26ms (, 中间层: 73.71ms, 最终层: 59.54ms, %)
层 7: 141.15ms (, 中间层: 71.08ms, 最终层: 70.07ms, %)
层 8: 110.63ms (, 中间层: 31.45ms, 最终层: 79.18ms, %)
层 9: 106.35ms (, 中间层: 32.43ms, 最终层: 73.91ms, %)
层 10: 105.72ms (, 中间层: 35.60ms, 最终层: 70.11ms, %)
层 11: 136.89ms (, 中间层: 71.01ms, 最终层: 65.87ms, %)
层 12: 126.82ms (, 中间层: 63.67ms, 最终层: 63.15ms, %)
层 13: 134.45ms (, 中间层: 68.16ms, 最终层: 66.29ms, %)
